	Portugues	Українська	日本語	한국어	简体中文	繁體中文	UI language name
118	Lamentamos informa-lo de que sua bisavo faleceu. De acordo com a vontade dela, voce recebera {shtraf}.	Зі скорботою повідомляємо, що у вас померла прапрабабуся. Згідно із заповітом, ви отримуєте {shtraf}.	残念ながら、あなたの曾祖母が亡くなりました。 遺言により、あなたは{shtraf}を受け取ります。	증조모께서 세상을 떠났다는 유감스러운 소식입니다. {shtraf}의 유산을 남겨 주셨습니다.	我们遗憾地通知您，您的曾祖母去世了。根据她的遗嘱，您将获得 {shtraf}。	我們遺憾地通知您，您的曾祖母去世了。根據她的遺囑，您將獲得 {shtraf}。	In-game message from letter
119	Estou pagando minha velha divida!##Kazuhara.  {shtraf}	Повертаю свій старий борг!##Казухара. {shtraf}	「昔の借金を返します！」##カズハラ。{shtraf}	옛날에 빌린 돈 갚는다!##카즈하라가.  {shtraf}	我在还旧债！##和原。  {shtraf}	我在還舊債！##和原。  {shtraf}	In-game message from letter
120	De acordo com uma pesquisa nacional, <cats> foram eleitos os mais fofos!	Згідно зі всенародним голосуванням, наймилішими тваринами визнані <cats>!	全国アンケートで最もかわいい動物には<cats>が選ばれました！	전국에서 설문 조사를 진행한 결과, <cats>가 가장 귀여운 동물로 꼽혔습니다!	根据一项全国调查，<cats>被评为最可爱的动物！	根據一項全國調查，<cats>被評為最可愛的動物！	News
121	gatinhos	кошенята	ネコ	고양이	猫猫	貓貓	<cats> from line 121
122	cachorrinhos	цуцики	イヌ	개	狗狗	狗狗	<cats> from line 121
123	papagaios	папужки	オウム	앵무새	鹦鹉	鸚鵡	<cats> from line 121
124	pandas	пандочки	パンダ	팬더	大熊猫	大熊貓	<cats> from line 121
125	coalas	коали	コアラ	코알라	考拉	無尾熊	<cats> from line 121
126	raposas fenecas	фенеки	フェネック	사막여우	小狐狸	小狐狸	<cats> from line 121
127	focas	тюленята	アザラシ	물개	海豹	海豹	<cats> from line 121
128	alpacas	альпаки	アルパカ	알파카	羊驼	羊駝	<cats> from line 121
129	Templo	Храм	寺	신사	寺庙	寺廟	UI
130	Voce rezou no templo. Voce se sentiu em paz.	Ви помолилися в храмі та відчули спокій.	お寺でお祈りしたので、穏やかな気持ちになりました。	신사에서 기도를 올리고 마음의 평안을 찾았습니다.	您在寺庙里祈祷，心平气和。	您在寺廟裡祈禱，心平氣和。	In-game message
131	Carteiro	Листоноша	郵便配達員	집배원	邮差	郵差	UI
132	Voce recebeu a fatura do seu pedido de videogame -	Вам прийшов рахунок за замовлені відеоігри -	注文したビデオゲームの請求書が届きました。	주문했던 비디오 게임의 청구서를 받았습니다.	您收到了订购游戏机的发票——	您收到了訂購遊戲機的發票——	In-game message
133	Encanador	Сантехнік	配管工	배관공	管道工	管道工	UI
134	Parece que voce tem um vazamento aqui. O reparo custara {shtraf}.	Здається, у вас тут теча. Ремонт коштуватиме {shtraf}.	水道管に水漏れがあるようです。 修理に{shtraf}かかります。	집에 누수가 발생했습니다. 수리비는 {shtraf}입니다.	看来您这里漏水了。修理费用为 {shtraf}。	看來您這裡漏水了。修理費用為 {shtraf}。	In-game message
135	Update	Оновлення	アップデート	업데이트	更新	更新	UI
136	Pro seu PC funcionar, voce precisara de novo hardware. Isto te custara {shtraf}.	Час оновлювати комп'ютер! Це обійдеться вам в {shtraf}.	パソコンを使うには新しいハードウェアが必要です。これには{shtraf}かかります。	PC로 일을 하려면 새 컴퓨터가 필요합니다. 비용은 {shtraf}입니다.	为了让您的电脑正常工作，您需要新的硬件。这将花费 {shtraf}。	為了讓您的電腦正常工作，您需要新的硬體。這將花費 {shtraf}。	In-game message
137	Surpresa	Несподіванка	サプライズ	뜻밖의 횡재	惊喜	驚喜	UI
138	Voce encontrou uma fatura de {shtraf} no chao.	Ви знайшли на землі купюру в {shtraf} єн!	地面に{shtraf}円札が落ちているのを見つけました。	땅에서 {shtraf} 지폐를 주웠습니다.	您在地上捡到了一张 {shtraf} 的钞票。	您在地上撿到了一張 {shtraf} 的鈔票。	In-game message
139	Problema	Проблема	問題	문제	问题	問題	UI
140	Parece que seu computador esta quebrado. Repara-lo custara {shtraf}.	Здається, ваш комп'ютер зламався. Ремонт коштуватиме {shtraf}.	パソコンが壊れているようです。修理には{shtraf}かかります。	컴퓨터가 고장 났습니다. 수리비는 {shtraf}입니다.	看来您的电脑坏了。修理费用为 {shtraf}。	看來您的電腦壞了。修理費用為 {shtraf}。	In-game message
141	Fim de semana	Вихідний	週末	주말	周末	週末	UI
142	Milagre	Диво	奇跡	기적	奇迹	奇蹟	UI
143	A empresa <companynm> libera um produto de sucesso que obtem um bom lucro. As acoes da empresa aumentam bruscamente no mercado de acoes.	Компанія <companynm> випускає успішний продукт, який приносить високий прибуток. Це піднімає вартість акцій компанії на біржі.	<companynm>社はヒット製品を発売し、利益を上げています。これにより、 同社の株価は株式市場で急上昇しています。	<companynm> 사에서 내놓은 신제품이 성공적인 수익을 거두었습니다. 덕분에 주가가 가파른 상승세를 보여 주고 있습니다.	<companynm> 公司发布的产品大获成功，并获得了丰厚利润。公司股票在股市上大幅上涨。	<companynm> 公司發布的產品大獲成功，並獲得了豐厚利潤。公司股票在股市上大幅上漲。	News
144	Parte do Conselho de Administracao da <companynm> chegou com um plano astuto para enganar seu diretor. Eles emitiram novas acoes com um preco baixo e taxa de propriedade para todos os acionistas.	Частина ради директорів компанії <companynm> провертає хитру аферу в обхід директора, і випускає нові акції, зменшивши їх ціну і частку власності у всіх акціонерів.	<companynm>の取締役会の一部が、取締役をだます巧妙な計画を思いつきました。全株主の株価と持ち株比率を引き下げる新株を発行しました。	<companynm> 사의 이사회에서 교묘한 계획으로 이사들을 속여 신주를 발행하면서 전체 주주들의 주가와 지분율을 낮추었습니다.	<companynm> 的部分董事想出了一个巧妙的计划来欺骗董事会。他们以较低的价格发行了新股，并降低了所有股东的持股比例。	<companynm> 的部分董事想出了一個巧妙的計劃來欺騙董事會。他們以較低的價格發行了新股，並降低了所有股東的持股比例。	News
145	Ultimas noticias!	Термінові новини!	速報！	속보입니다!	重大新闻!	重大新聞!	UI
146	Um dos acionistas majoritarios da empresa <companynm> decidiu vender suas acoes, de modo a direcionar abaixo o seu preco.	Один з великих акціонерів компанії <companynm> вирішує продати свої акції, чим обвалює їх курс.	<companynm>の大株主の一人が持ち株売却を決定したため、株価が下落しました。	<companynm> 사의 대주주 한 명이 주식을 매각하면서 주가가 하락하고 있습니다.	<companynm> 公司的一位大股东决定卖出他的股票，使得股价下跌。	<companynm> 公司的一位大股東決定賣出他的股票，使得股價下跌。	News
147	Voce esta preso por ajudar e favorecer o trafico de drogas em <companname>.	Ви заарештовані за пособництво торгівлі наркотиками в компанії <companname>.	あなたは<compa>での麻薬密売幇助の容疑で逮捕されました。	귀하는 <companname>사의 마약 밀매를 조력 및 방조한 혐의로 체포되었습니다.	您因在 <companname> 协助与教唆贩毒而被捕。	您因在 <companname> 協助與教唆販毒而被捕。	In-game message
148	Policia liquidou uma empresa ilegal, a <companname>.##A policia esta investigando os acionistas envolvidos nessas atividades.	Поліцією була ліквідована нелегальна компанія <companname>. Поліція перевіряє причетність до цієї діяльності усіх акціонерів.	警察は違法会社<companname>を清算しました。##警察はこれらの活動に関与した株主を調査しています。	경찰에서 <companname> 사를 불법 혐의로 청산했습니다. 또한 이 행위에 연루된 주주들을 수사 중입니다.	警方清查了一家违法公司 <companname>。警方正在调查涉嫌违法的股东。	警方清查了一家違法公司 <companname>。警方正在調查涉嫌違法的股東。	In-game message
149	Boa tarde. Estamos investigando um cartel de drogas. Temos muitas evidencias contra a empresa <companname>, da qual voce e co-proprietario. Espere uma intimacao. Vejo voce mais tarde. ##Talvez voce devesse dar um suborno a eles?	Добридень. Ми ведемо розслідування з приводу злочинного наркокартеля. У нас є безліч доказів проти компанії <companname>, співвласником якої є ви. Чекайте повістки до суду. До зустрічі. ##Може запропонувати їм хабар?	こんにちは。私たちは麻薬カルテルを捜査しています。あなたが共同経営者となっている会社<companname>に対して多くの証拠を持っています。召喚状が届くのを待ってください。それではまたお会いしましょう。##賄賂を渡したほうがよくないですか？	안녕하세요. 마약 수사반입니다. 귀하가 공동 소유주인 <companname> 사를 수사하면서 물증을 다수 확보한 상태입니다. 곧 영장이 발부될 테니 협조 부탁 드립니다. ##어쩌면 상대를 매수할 수 있지 않을까요?	下午好。我们正在调查一个贩毒集团。我们掌握了很多不利于 <companname> 公司的证据，而您是这家公司的合伙人。您会收到传票的。回见。##也许您该给他们点贿赂？	午安。我們正在調查一個販毒集團。我們掌握了很多不利於 <companname> 公司的證據，而您是這家公司的合伙人。您會收到傳票的。待會見。##也許您該給他們點賄賂？	Police
